Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
61237,0.246,0.083,-0.190,0.284,-0.212,-0.068,-0.697,-0.052,0.715,-0.007,0.000,-0.001,4704,0,-16,4,0,0.000,0.000,0,0,0,0,0
61336,0.261,0.137,-0.460,0.211,-0.004,0.000,-0.691,-0.060,0.721,-0.012,0.000,-0.002,4359,0,-8,-1,0,0.000,0.000,0,0,0,0,0
61436,0.240,0.118,-0.240,0.196,0.146,0.106,-0.693,-0.063,0.718,-0.020,0.000,-0.001,3703,0,-6,-4,0,0.000,0.000,0,0,0,0,0
61536,0.193,0.067,-0.230,0.299,0.291,0.160,-0.698,-0.067,0.712,-0.032,0.000,-0.001,3018,0,-3,-12,0,0.000,0.000,0,0,0,0,0
61636,0.144,-0.001,-0.080,0.352,0.169,0.133,-0.706,-0.074,0.703,-0.049,0.000,0.000,3233,0,-7,-10,0,0.000,0.000,305,305,0,0,0
61736,0.113,-0.008,-0.190,0.407,-0.107,-0.004,-0.705,-0.084,0.701,-0.065,0.000,0.000,4294,0,-16,-4,0,0.000,0.000,305,305,0,0,0
61836,0.150,0.050,-0.350,0.429,-0.110,-0.146,-0.697,-0.105,0.706,-0.076,0.000,-0.000,5201,0,-15,-5,0,0.000,0.000,305,305,0,0,0
61936,0.183,0.075,-0.070,0.368,-0.029,-0.051,-0.693,-0.119,0.706,-0.084,0.000,-0.001,4653,0,-13,-5,0,0.000,0.000,305,305,0,0,0
62036,0.196,0.075,0.470,0.451,0.056,0.016,-0.691,-0.135,0.703,-0.097,0.000,-0.001,4332,0,-14,-10,0,0.000,0.000,305,305,0,0,0
62136,0.171,0.073,0.500,0.393,0.032,0.104,-0.689,-0.148,0.700,-0.115,0.000,-0.001,3765,0,-12,-6,0,0.000,0.000,305,305,0,0,0
62236,0.121,0.083,0.070,0.389,-0.087,0.101,-0.685,-0.158,0.700,-0.133,0.000,-0.001,3766,0,-17,-3,0,0.000,0.000,305,305,0,0,0
62336,0.097,0.102,-0.390,0.356,0.048,-0.016,-0.680,-0.168,0.699,-0.146,0.000,-0.001,4593,0,-12,-7,0,0.000,0.000,305,305,0,0,0
62436,0.086,0.092,-0.300,0.308,0.086,0.097,-0.678,-0.177,0.696,-0.157,0.000,-0.000,3325,0,-10,-7,0,0.000,0.000,305,305,0,0,0
62536,0.035,0.080,0.010,0.140,-0.044,0.111,-0.677,-0.179,0.694,-0.169,0.000,-0.000,3211,0,-10,2,0,0.000,0.000,305,305,0,0,0
62636,0.012,0.078,0.050,0.107,0.050,0.007,-0.675,-0.182,0.693,-0.175,0.000,-0.000,4070,0,-7,-2,0,0.000,0.000,305,305,0,0,0
62736,-0.004,0.078,-0.360,0.048,-0.028,0.104,-0.674,-0.183,0.693,-0.179,0.000,-0.000,2671,0,-8,2,0,0.000,0.000,305,305,0,0,0
62836,-0.025,0.076,-0.670,0.026,-0.003,-0.009,-0.674,-0.182,0.693,-0.181,0.000,0.000,3879,0,-7,0,0,0.000,0.000,305,305,0,0,0
62936,-0.003,0.060,-0.350,0.112,0.128,-0.152,-0.676,-0.186,0.689,-0.183,0.000,-0.000,4992,0,-5,-6,19,16.560,81.250,305,305,0,0,0
63036,0.039,0.037,0.090,0.006,-0.001,-0.043,-0.679,-0.191,0.685,-0.182,0.000,-0.000,3858,0,-6,3,19,16.560,81.250,305,305,0,0,0
63136,0.008,0.052,0.020,-0.117,-0.162,0.183,-0.677,-0.187,0.688,-0.182,0.000,-0.000,1335,0,-8,9,19,16.560,81.250,305,305,0,0,0
63236,-0.089,0.072,0.170,-0.189,-0.072,0.247,-0.674,-0.173,0.694,-0.184,0.000,0.000,0,1709,-5,8,19,16.560,81.250,305,305,0,0,0
63336,-0.135,0.139,0.100,-0.456,-0.122,0.092,-0.668,-0.159,0.706,-0.175,0.000,0.001,2143,0,2,16,19,16.550,81.250,305,305,0,0,0
63436,-0.145,0.151,0.120,-0.387,0.037,-0.046,-0.670,-0.144,0.710,-0.160,0.000,0.001,3422,0,0,10,19,16.550,81.250,305,305,0,0,0
63536,-0.104,0.167,-0.230,-0.378,-0.070,-0.037,-0.672,-0.134,0.714,-0.144,0.000,0.000,2954,0,-4,13,19,16.550,81.250,305,305,0,0,0
63636,-0.082,0.189,-0.450,-0.367,-0.087,0.059,-0.672,-0.123,0.719,-0.130,0.000,0.000,2176,0,-5,14,19,16.550,81.250,305,305,0,0,0
63736,-0.109,0.190,-0.200,-0.233,0.074,0.120,-0.674,-0.110,0.721,-0.121,0.000,0.001,0,242,-4,5,19,16.560,81.250,305,305,0,0,0
63836,-0.148,0.175,0.170,-0.080,0.102,0.098,-0.676,-0.101,0.720,-0.120,0.000,0.001,759,0,-6,2,19,16.560,81.250,305,305,0,0,0
63936,-0.155,0.155,0.080,0.000,0.013,-0.012,-0.678,-0.099,0.718,-0.120,0.000,0.001,2337,0,-10,4,19,16.560,81.250,305,305,0,0,0
64036,-0.153,0.128,0.040,0.021,0.102,-0.013,-0.681,-0.099,0.715,-0.121,0.000,0.001,1967,0,-7,1,19,16.570,81.250,305,305,0,0,0
64136,-0.137,0.128,-0.180,-0.061,-0.004,-0.027,-0.682,-0.099,0.715,-0.118,0.000,0.001,2031,0,-7,7,19,16.570,81.250,305,305,0,0,0
64236,-0.131,0.112,-0.020,-0.017,0.138,-0.021,-0.684,-0.099,0.713,-0.117,0.000,0.000,2076,0,-3,1,19,16.570,81.250,305,305,0,0,0
64336,-0.123,0.083,0.040,-0.087,0.054,-0.037,-0.688,-0.096,0.710,-0.115,0.000,0.000,2219,0,-5,5,19,16.570,81.250,305,305,0,0,0
64436,-0.120,0.066,0.040,-0.108,0.030,0.000,-0.690,-0.093,0.709,-0.111,0.000,0.000,1462,0,-4,5,19,16.560,81.250,305,305,0,0,0
64536,-0.127,0.058,0.110,-0.140,0.143,0.054,-0.692,-0.087,0.709,-0.107,0.000,0.000,0,1313,1,1,19,16.560,81.250,305,305,0,0,0
64636,-0.141,0.037,0.000,-0.113,-0.033,0.021,-0.695,-0.081,0.707,-0.104,0.000,0.000,449,0,-7,7,19,16.560,81.250,305,305,0,0,0
64736,-0.141,0.045,-0.080,-0.067,-0.024,-0.020,-0.694,-0.078,0.708,-0.101,0.000,0.000,1440,0,-6,4,19,16.560,81.250,305,305,0,0,0
64836,-0.120,0.052,-0.150,-0.063,0.019,-0.002,-0.694,-0.078,0.709,-0.097,0.000,0.000,367,0,-5,4,19,16.560,81.250,305,305,0,0,0
64936,-0.122,0.048,-0.030,-0.034,-0.012,0.016,-0.695,-0.076,0.709,-0.095,0.000,0.000,0,822,-7,4,19,16.560,81.250,305,305,0,0,0
65036,-0.128,0.050,0.110,0.000,-0.027,0.030,-0.695,-0.075,0.709,-0.096,0.000,0.000,0,1610,-7,4,19,16.560,81.250,305,305,0,0,0
65136,-0.140,0.051,0.060,0.019,0.020,0.031,-0.694,-0.073,0.709,-0.097,0.000,0.000,0,1822,-7,2,19,16.550,81.250,305,305,0,0,0
65236,-0.129,0.052,-0.050,-0.063,-0.038,-0.098,-0.694,-0.075,0.709,-0.096,0.000,0.000,2299,0,-6,7,19,16.550,81.250,305,305,0,0,0
65336,-0.121,0.125,0.090,0.072,-0.188,0.042,-0.686,-0.073,0.718,-0.091,0.000,0.001,0,2354,-16,4,19,16.550,81.250,305,305,0,0,0
65436,-0.169,0.110,0.250,0.104,0.158,0.051,-0.687,-0.069,0.717,-0.096,0.000,0.001,0,1306,-11,-5,19,16.550,81.250,305,305,0,0,0
65536,-0.152,0.118,0.480,0.033,-0.003,-0.009,-0.686,-0.073,0.717,-0.097,0.000,0.001,0,2136,-8,5,19,16.540,81.250,305,305,0,0,0
65636,-0.148,0.102,-0.210,0.077,0.092,-0.057,-0.688,-0.075,0.715,-0.098,0.000,0.001,0,963,-8,0,19,16.540,81.250,305,305,0,0,0
65736,-0.143,0.044,-0.170,0.056,0.213,0.020,-0.695,-0.077,0.708,-0.101,0.000,0.000,0,2662,-2,-2,19,16.540,81.250,305,305,0,0,0
65836,-0.163,-0.006,-0.500,-0.037,0.153,0.086,-0.700,-0.074,0.702,-0.103,0.000,-0.000,0,4146,-1,0,19,16.540,81.250,305,305,0,0,0
65936,-0.198,-0.028,0.300,-0.067,-0.039,0.053,-0.703,-0.068,0.701,-0.104,0.000,-0.000,0,3337,-6,6,19,16.530,81.250,305,305,0,0,0
66036,-0.236,-0.008,1.220,0.042,0.037,0.123,-0.700,-0.065,0.703,-0.107,0.000,-0.000,0,4332,-5,-1,19,16.530,81.250,305,305,0,0,0
66136,-0.233,-0.066,0.090,0.026,0.178,-0.059,-0.707,-0.065,0.696,-0.108,0.000,-0.001,0,2689,-1,-4,19,16.530,81.250,305,305,0,0,0
66236,-0.190,-0.099,0.330,0.002,0.119,-0.077,-0.711,-0.069,0.692,-0.105,0.000,-0.001,0,3112,0,-2,19,16.530,81.250,305,305,0,0,0
66336,-0.198,-0.133,0.160,0.000,0.100,0.047,-0.715,-0.068,0.688,-0.107,0.000,-0.001,0,3906,0,-2,19,16.530,81.250,305,305,0,0,0
66436,-0.173,-0.154,0.590,-0.004,0.049,-0.138,-0.717,-0.070,0.685,-0.105,0.000,-0.001,0,1385,-1,-2,19,16.550,81.250,305,305,0,0,0
66536,-0.083,-0.137,0.090,0.024,-0.256,-0.203,-0.717,-0.078,0.686,-0.097,0.000,-0.001,1529,0,-12,7,19,16.550,81.250,305,305,0,0,0
66636,-0.019,-0.044,0.150,0.157,-0.273,-0.128,-0.705,-0.089,0.697,-0.094,0.000,-0.000,0,2441,-15,1,19,16.550,81.250,305,305,0,0,0
66736,-0.061,-0.019,0.300,0.173,0.051,0.249,-0.702,-0.091,0.699,-0.102,0.000,-0.000,0,4986,-6,-6,19,16.550,81.250,305,305,0,0,0
66836,-0.126,-0.039,0.210,0.301,-0.002,0.046,-0.702,-0.092,0.696,-0.115,0.000,-0.000,0,2946,-13,-6,19,16.550,81.250,305,305,0,0,0
66936,-0.105,-0.044,-0.450,0.390,0.061,-0.141,-0.701,-0.107,0.694,-0.127,0.000,-0.000,1341,0,-11,-10,19,16.550,81.250,305,305,0,0,0
67036,-0.090,-0.055,-0.710,0.380,0.046,0.102,-0.700,-0.123,0.690,-0.141,0.000,-0.000,0,4256,-12,-7,19,16.550,81.250,305,305,0,0,0
67136,-0.139,-0.059,-0.190,0.519,-0.081,0.229,-0.696,-0.132,0.688,-0.158,0.000,-0.000,0,5001,-20,-10,19,16.540,81.250,305,305,0,0,0
67236,-0.154,-0.075,-0.340,0.861,0.149,-0.086,-0.692,-0.152,0.681,-0.183,0.000,-0.001,0,1885,-21,-27,19,16.540,81.250,305,305,0,0,0
67336,-0.085,-0.100,-0.180,1.334,-0.117,-0.154,-0.686,-0.194,0.668,-0.215,0.000,-0.001,0,1044,-41,-29,19,16.540,81.250,305,305,0,0,0
67436,-0.075,-0.130,-0.330,1.250,-0.041,0.174,-0.674,-0.237,0.650,-0.260,0.000,-0.001,0,4803,-31,-25,19,16.540,81.250,305,305,0,0,0
67536,-0.098,-0.133,-0.750,1.031,0.109,-0.127,-0.660,-0.266,0.638,-0.295,0.000,-0.001,777,0,-19,-26,19,16.560,81.250,305,305,0,0,0
67636,-0.023,-0.107,-0.040,0.639,-0.081,-0.080,-0.647,-0.300,0.626,-0.315,0.000,-0.000,0,2371,-16,-11,19,16.560,81.250,305,305,0,0,0
67736,-0.033,-0.124,-0.370,0.438,0.110,0.143,-0.640,-0.315,0.617,-0.333,0.000,-0.001,0,4421,-9,-14,19,16.560,81.250,305,305,0,0,0
67836,-0.053,-0.126,0.090,0.051,0.040,-0.066,-0.635,-0.320,0.613,-0.343,0.000,-0.001,0,2010,-1,-3,19,16.560,81.250,305,305,0,0,0
67936,-0.028,-0.164,-0.070,-0.303,0.313,0.029,-0.643,-0.315,0.611,-0.337,0.000,-0.001,0,3671,14,-6,19,16.560,81.250,305,305,0,0,0
68036,-0.051,-0.241,0.230,-0.381,-0.072,-0.063,-0.655,-0.300,0.608,-0.333,0.000,-0.002,0,2289,1,7,19,16.560,81.250,305,305,0,0,0
68136,0.023,-0.147,0.430,-0.449,-0.258,-0.167,-0.656,-0.296,0.623,-0.307,0.000,-0.000,520,0,-1,9,19,16.560,81.250,305,305,0,0,0
68236,0.040,-0.120,0.000,-0.248,-0.226,0.081,-0.660,-0.286,0.631,-0.291,0.000,-0.000,0,3820,-9,4,19,16.540,81.290,305,305,0,0,0
68336,-0.033,-0.067,0.380,0.073,-0.204,0.261,-0.653,-0.279,0.641,-0.291,0.000,-0.000,0,5075,-16,-3,19,16.540,81.290,305,305,0,0,0
68436,-0.063,-0.057,-0.390,-0.096,0.320,-0.107,-0.651,-0.276,0.644,-0.292,0.000,-0.000,0,1328,9,-13,19,16.540,81.290,305,305,0,0,0
68536,-0.024,-0.147,-0.180,-0.279,0.214,-0.012,-0.665,-0.269,0.635,-0.287,0.000,-0.001,0,3304,9,-2,19,16.540,81.290,305,305,0,0,0
68636,-0.063,-0.227,-0.130,-0.477,0.094,0.051,-0.677,-0.251,0.632,-0.281,0.000,-0.002,0,3709,9,5,19,16.540,81.250,305,305,0,0,0
68736,-0.085,-0.247,-0.150,-0.373,0.003,-0.070,-0.685,-0.234,0.635,-0.269,0.000,-0.002,0,2542,4,0,19,16.540,81.250,305,305,0,0,0
68836,-0.085,-0.233,-0.060,-0.287,0.071,-0.036,-0.687,-0.225,0.641,-0.258,0.000,-0.002,0,3232,7,-5,19,16.540,81.250,305,305,0,0,0
68936,-0.124,-0.229,0.180,-0.218,-0.216,0.128,-0.689,-0.214,0.645,-0.253,0.000,-0.002,0,4819,-5,4,19,16.540,81.250,305,305,0,0,0
69036,-0.151,-0.250,-0.760,0.030,0.244,0.002,-0.691,-0.209,0.644,-0.253,0.000,-0.003,0,3850,4,-19,18,16.550,81.250,305,305,0,0,0
69136,-0.110,-0.181,0.180,0.123,-0.286,-0.212,-0.683,-0.219,0.649,-0.252,0.000,-0.001,0,320,-12,-2,18,16.550,81.250,305,305,0,0,0
69236,-0.039,-0.195,0.090,0.128,0.100,-0.096,-0.686,-0.228,0.645,-0.250,0.000,-0.001,0,3002,0,-13,18,16.550,81.250,305,305,0,0,0
69336,-0.031,-0.212,0.390,0.088,0.032,0.049,-0.687,-0.231,0.642,-0.253,0.000,-0.001,0,4081,-3,-8,18,16.550,81.250,305,305,0,0,0
69436,-0.031,-0.223,-0.240,0.057,0.211,-0.019,-0.687,-0.232,0.640,-0.255,0.000,-0.001,0,3240,5,-16,19,16.550,81.250,305,305,0,0,0
69536,-0.034,-0.225,-0.090,-0.061,-0.108,-0.024,-0.687,-0.231,0.639,-0.255,0.000,-0.001,0,3131,-2,-2,19,16.550,81.250,305,305,0,0,0
69636,0.001,-0.223,-0.360,-0.093,0.091,-0.149,-0.689,-0.232,0.640,-0.249,0.000,-0.001,0,1057,6,-9,19,16.550,81.250,305,305,0,0,0
69736,0.045,-0.255,0.190,-0.121,0.003,0.010,-0.695,-0.230,0.636,-0.242,0.000,-0.001,0,4240,-1,-4,19,16.550,81.250,305,305,0,0,0
69836,-0.022,-0.194,-0.030,-0.067,-0.143,0.188,-0.688,-0.224,0.646,-0.242,0.000,-0.001,0,4798,-3,-4,19,16.540,81.250,305,305,0,0,0
69936,-0.095,-0.178,-0.230,0.044,-0.014,0.166,-0.684,-0.219,0.650,-0.248,0.000,-0.001,0,4803,-2,-10,19,16.540,81.250,305,305,0,0,0
70036,-0.108,-0.147,0.310,-0.007,-0.169,-0.093,-0.680,-0.220,0.653,-0.250,0.000,-0.001,0,2620,-5,-1,19,16.540,81.250,305,305,0,0,0
70136,-0.045,-0.108,-0.320,-0.050,-0.079,-0.187,-0.678,-0.225,0.657,-0.241,0.000,-0.000,0,1738,-1,-4,19,16.540,81.250,305,305,0,0,0
70236,0.017,-0.109,0.160,0.001,0.079,-0.116,-0.680,-0.230,0.655,-0.235,0.000,-0.000,0,2433,1,-10,19,16.550,81.250,305,305,0,0,0
70336,0.034,-0.142,-0.040,0.038,0.116,0.028,-0.684,-0.230,0.651,-0.236,0.000,-0.000,0,3676,1,-11,19,16.550,81.250,305,305,0,0,0
70436,0.017,-0.157,0.090,0.058,-0.021,0.043,-0.685,-0.229,0.649,-0.239,0.000,-0.000,0,3594,-4,-8,19,16.550,81.250,305,305,0,0,0
70536,0.000,-0.128,-0.060,0.049,-0.166,0.050,-0.681,-0.231,0.653,-0.241,0.000,-0.000,0,3607,-6,-3,19,16.550,81.250,305,305,0,0,0
70636,-0.016,-0.085,-0.210,0.014,-0.092,-0.011,-0.675,-0.233,0.657,-0.242,0.000,-0.000,0,3149,-3,-4,19,16.540,81.250,305,305,0,0,0
70736,-0.008,-0.077,0.130,0.079,0.150,-0.063,-0.674,-0.235,0.657,-0.242,0.000,-0.000,0,2646,1,-13,19,16.540,81.250,305,305,0,0,0
70836,0.013,-0.141,-0.310,0.011,0.282,0.037,-0.681,-0.236,0.649,-0.245,0.000,-0.000,0,3795,7,-15,19,16.540,81.250,305,305,0,0,0
70936,-0.026,-0.212,-0.110,0.001,0.134,0.190,-0.688,-0.229,0.642,-0.251,0.000,-0.001,0,4790,3,-10,18,16.560,81.250,305,305,0,0,0
71036,-0.065,-0.217,0.040,-0.028,-0.013,0.001,-0.687,-0.225,0.643,-0.253,0.000,-0.002,0,3459,1,-8,18,16.560,81.250,305,305,0,0,0
71136,-0.062,-0.239,-0.070,-0.012,0.170,0.066,-0.690,-0.223,0.641,-0.252,0.000,-0.002,0,4409,7,-16,18,16.560,81.250,305,305,0,0,0
71236,-0.085,-0.297,0.160,0.008,0.247,0.067,-0.696,-0.218,0.635,-0.256,0.000,-0.003,0,4417,9,-19,18,16.560,81.250,305,305,0,0,0
71336,-0.083,-0.385,0.010,0.022,0.361,-0.063,-0.706,-0.215,0.623,-0.259,0.000,-0.004,0,3850,12,-26,19,16.550,81.250,305,305,0,0,0
71436,-0.080,-0.494,-0.060,0.071,0.383,-0.001,-0.716,-0.213,0.610,-0.265,0.000,-0.007,0,3999,16,-27,19,16.550,81.250,305,305,0,0,0
71536,-0.069,-0.594,-0.010,0.011,0.310,-0.018,-0.726,-0.210,0.597,-0.269,0.000,-0.009,0,3874,18,-26,19,16.550,81.250,305,305,0,0,0
71636,-0.062,-0.664,-0.060,-0.014,0.181,0.004,-0.733,-0.207,0.588,-0.271,0.000,-0.011,0,4085,16,-24,19,16.550,81.250,305,305,0,0,0
71736,-0.054,-0.689,0.020,-0.044,-0.034,0.009,-0.737,-0.206,0.586,-0.269,0.000,-0.011,0,4167,12,-20,19,16.560,81.250,305,305,0,0,0
71836,-0.066,-0.666,0.010,0.009,-0.170,0.053,-0.734,-0.205,0.589,-0.269,0.000,-0.011,0,4444,8,-18,19,16.560,81.250,305,305,0,0,0
71936,-0.068,-0.603,0.000,-0.014,-0.251,-0.064,-0.727,-0.208,0.597,-0.267,0.000,-0.009,0,3370,7,-14,19,16.560,81.250,305,305,0,0,0
72036,-0.035,-0.528,-0.010,-0.027,-0.259,-0.141,-0.721,-0.214,0.605,-0.261,0.000,-0.006,0,2518,7,-13,19,16.560,81.250,305,305,0,0,0
72136,-0.011,-0.457,0.010,-0.019,-0.196,0.020,-0.715,-0.218,0.613,-0.256,0.000,-0.004,0,4143,7,-14,19,16.560,81.250,305,305,0,0,0
72236,-0.029,-0.415,0.170,-0.004,-0.131,0.116,-0.710,-0.218,0.619,-0.255,0.000,-0.004,0,4832,7,-16,19,16.560,81.250,305,305,0,0,0
72336,-0.046,-0.387,-0.310,-0.019,-0.078,-0.054,-0.707,-0.217,0.623,-0.255,0.000,-0.004,0,3218,8,-16,19,16.560,81.250,305,305,0,0,0
72436,-0.023,-0.381,0.310,0.007,0.041,0.001,-0.707,-0.218,0.624,-0.252,0.000,-0.003,0,4033,11,-21,19,16.560,81.250,305,305,0,0,0
72536,-0.025,-0.412,-0.030,-0.003,0.149,0.047,-0.711,-0.216,0.620,-0.253,0.000,-0.004,0,4341,15,-23,19,16.550,81.250,305,305,0,0,0
72636,-0.044,-0.464,-0.180,0.064,0.197,0.114,-0.715,-0.213,0.614,-0.257,0.000,-0.005,0,4876,15,-27,19,16.550,81.250,305,305,0,0,0
72736,-0.059,-0.519,0.110,-0.013,0.198,-0.049,-0.720,-0.210,0.608,-0.260,0.000,-0.007,0,3487,19,-26,19,16.550,81.250,305,305,0,0,0
72836,-0.044,-0.573,-0.340,-0.023,0.171,-0.117,-0.726,-0.209,0.601,-0.261,0.000,-0.008,0,2787,20,-26,19,16.550,81.250,305,305,0,0,0
72936,0.003,-0.599,-0.070,0.007,0.019,-0.147,-0.731,-0.211,0.596,-0.257,0.000,-0.007,0,2365,15,-24,19,16.550,81.250,305,305,0,0,0
73036,0.056,-0.603,-0.350,-0.043,0.017,-0.122,-0.733,-0.215,0.594,-0.252,0.000,-0.006,0,2378,19,-24,19,16.550,81.250,305,305,0,0,0
73136,0.056,-0.586,0.410,0.011,-0.094,0.072,-0.731,-0.215,0.597,-0.251,0.000,-0.005,0,4202,13,-23,19,16.550,81.250,305,305,0,0,0
73236,0.016,-0.548,-0.300,-0.006,-0.157,0.100,-0.726,-0.214,0.602,-0.254,0.000,-0.006,0,4287,13,-20,19,16.550,81.250,305,305,0,0,0
73336,-0.021,-0.503,-0.150,-0.002,-0.138,0.077,-0.720,-0.213,0.609,-0.255,0.000,-0.005,0,4257,13,-21,19,16.560,81.250,305,305,0,0,0
73436,-0.046,-0.472,-0.030,0.063,-0.074,0.073,-0.716,-0.213,0.613,-0.257,0.000,-0.005,0,4456,12,-24,19,16.560,81.250,305,305,0,0,0
73536,-0.053,-0.457,0.070,0.063,-0.019,-0.003,-0.713,-0.215,0.615,-0.259,0.000,-0.005,0,3956,14,-25,19,16.560,81.250,305,305,0,0,0
73636,-0.038,-0.459,0.150,0.031,0.060,-0.051,-0.714,-0.217,0.614,-0.260,0.000,-0.005,0,3631,17,-26,19,16.560,81.250,305,305,0,0,0
73736,-0.023,-0.478,0.110,0.044,0.094,-0.018,-0.716,-0.218,0.610,-0.260,0.000,-0.005,0,3913,18,-28,19,16.560,81.250,305,305,0,0,0
73836,-0.018,-0.504,0.100,-0.013,0.108,-0.001,-0.718,-0.218,0.607,-0.261,0.000,-0.005,0,4012,21,-28,19,16.560,81.250,305,305,0,0,0
73936,-0.017,-0.535,0.040,0.000,0.126,0.022,-0.722,-0.216,0.603,-0.261,0.000,-0.006,0,4208,21,-30,19,16.560,81.250,305,305,0,0,0
74036,-0.029,-0.570,-0.110,-0.024,0.082,-0.027,-0.725,-0.213,0.599,-0.264,0.000,-0.007,0,3684,21,-29,19,16.560,81.250,305,305,0,0,0
74136,-0.020,-0.588,-0.020,0.003,0.021,-0.043,-0.727,-0.213,0.597,-0.263,0.000,-0.007,0,3607,20,-29,19,16.560,81.250,305,305,0,0,0
74236,-0.007,-0.587,0.030,0.011,-0.029,0.000,-0.727,-0.214,0.597,-0.262,0.000,-0.007,0,3995,19,-28,19,16.560,81.250,305,305,0,0,0
74336,-0.003,-0.575,-0.050,0.000,-0.074,0.012,-0.726,-0.215,0.598,-0.261,0.000,-0.007,0,4039,19,-27,19,16.560,81.250,305,305,0,0,0
74436,-0.001,-0.549,-0.010,-0.002,-0.117,-0.026,-0.724,-0.216,0.602,-0.260,0.000,-0.006,0,3572,18,-26,19,16.550,81.250,305,305,0,0,0
74536,0.012,-0.516,0.040,-0.003,-0.110,-0.034,-0.721,-0.219,0.605,-0.258,0.000,-0.005,0,3529,18,-26,19,16.550,81.250,305,305,0,0,0
74636,0.011,-0.488,0.000,0.007,-0.081,-0.008,-0.718,-0.220,0.608,-0.257,0.000,-0.005,0,3705,18,-27,19,16.550,81.250,305,305,0,0,0
74736,0.008,-0.471,-0.020,0.002,-0.031,0.024,-0.716,-0.221,0.610,-0.257,0.000,-0.004,0,3997,20,-28,19,16.560,81.250,305,305,0,0,0
74836,-0.010,-0.470,0.000,-0.013,0.032,0.040,-0.715,-0.219,0.611,-0.259,0.000,-0.005,0,4152,22,-30,19,16.560,81.250,305,305,0,0,0
74936,-0.011,-0.487,0.170,-0.036,0.067,-0.017,-0.717,-0.218,0.609,-0.258,0.000,-0.005,0,3779,24,-30,19,16.560,81.250,305,305,0,0,0
75036,-0.024,-0.511,0.240,0.000,0.079,0.050,-0.720,-0.215,0.607,-0.260,0.000,-0.006,0,4372,24,-32,19,16.560,81.250,305,305,0,0,0
75136,-0.026,-0.525,0.000,0.042,0.012,-0.031,-0.721,-0.215,0.605,-0.261,0.000,-0.006,0,3666,21,-32,19,16.550,81.330,905,7002,60,281,0
75236,-0.006,-0.515,-0.120,0.051,-0.080,-0.021,-0.719,-0.219,0.605,-0.261,0.000,-0.011,0,3822,19,-30,19,16.550,81.330,905,7002,60,281,0
75336,-0.006,-0.487,0.030,0.013,-0.116,0.026,-0.716,-0.221,0.608,-0.261,10000000.000,-0.013,0,4729,19,-28,19,16.550,81.330,905,7002,60,281,0
75436,-0.019,-0.450,0.010,-0.006,-0.138,0.027,-0.712,-0.222,0.613,-0.261,20000000.000,-0.014,0,5221,19,-27,19,16.550,81.330,905,7002,60,281,0
75536,-0.023,-0.410,0.030,-0.017,-0.129,-0.006,-0.708,-0.223,0.618,-0.259,45000000.000,-0.013,2694,6144,19,-27,19,16.550,81.330,905,7002,60,281,0
75636,-0.025,-0.374,0.070,0.004,-0.120,0.000,-0.704,-0.224,0.622,-0.258,55000000.000,-0.012,3452,6564,18,-27,19,16.520,81.290,446,9025,60,392,0
75736,-0.024,-0.343,0.040,0.016,-0.086,0.002,-0.701,-0.226,0.626,-0.257,60000000.000,-0.013,3746,6780,18,-28,19,16.520,81.290,446,9025,60,392,0
75836,-0.023,-0.326,-0.240,0.023,-0.041,0.013,-0.699,-0.227,0.628,-0.257,75000000.000,-0.015,4532,7380,19,-29,19,16.520,81.290,446,9025,60,392,0
75936,-0.029,-0.320,0.010,0.010,-0.006,0.060,-0.698,-0.227,0.629,-0.257,105000000.000,-0.015,5649,8549,20,-29,19,16.500,81.210,385,11086,60,490,0
76036,-0.040,-0.318,0.010,-0.018,-0.018,-0.010,-0.698,-0.226,0.629,-0.258,110000000.000,-0.014,6314,8375,20,-28,19,16.500,81.210,385,11086,60,490,0
76136,-0.034,-0.307,0.080,-0.007,-0.040,-0.014,-0.697,-0.226,0.630,-0.256,120000000.000,-0.013,6676,8685,19,-28,19,16.500,81.210,385,11086,60,490,0
76236,-0.032,-0.292,0.030,-0.011,-0.049,0.003,-0.695,-0.227,0.632,-0.256,130000000.000,-0.013,6948,9041,19,-28,19,16.500,81.210,385,11086,60,490,0
76336,-0.033,-0.270,0.140,-0.021,-0.101,-0.027,-0.693,-0.228,0.635,-0.255,155000000.000,-0.012,7967,9567,18,-25,19,16.490,81.170,384,12690,60,542,0
76436,-0.013,-0.245,-0.320,0.004,-0.057,-0.074,-0.691,-0.230,0.637,-0.252,175000000.000,-0.012,8751,9920,18,-28,19,16.490,81.170,384,12690,60,542,0
76536,-0.005,-0.216,0.080,0.006,-0.143,0.013,-0.688,-0.232,0.640,-0.250,185000000.000,-0.012,8697,10458,15,-24,19,16.490,81.170,384,12690,60,542,0
76636,-0.013,-0.176,-0.440,0.010,-0.122,-0.008,-0.683,-0.234,0.645,-0.249,200000000.000,-0.013,9257,10691,15,-25,19,16.490,81.170,384,12690,60,542,0
